Neighborhood,on_time_percent
Trafford,0.411411765
Mckeesport,0.417137255
Mount Royal,0.427719608
Oakmont,0.429233333
Mckeesport,0.436833333
Robinson,0.443311765
Allegheny Valley,0.452562745
Ross,0.458003922
Braddock Hills,0.459190196
Holiday Park,0.463354902
McCandless,0.466937255
Squirrel Hill,0.472354902
Banksville,0.473243137
Homestead Park,0.473273171
Homestead Park,0.474882353
Mount Royal,0.482984314
Monroeville,0.485335294
Homeville,0.486707843
Ross,0.490566667
Emsworth,0.495194118
Carrick,0.495413725
Penn Hills,0.497092157
Swissvale,0.50037451
Lawrenceville,0.501433333
Moon,0.503776471
Jefferson Hills,0.504333333
Lincoln Park,0.507788235
Edgewood,0.511388235
Bridgeville,0.51684902
Baldwin Manor,0.51747451
Spring Garden,0.521676471
Kennedy,0.535864706
Downtown,0.559772549
Mckeesport,0.572609009
West Mifflin,0.575907407
Penn Hills,0.587062162
Mckeesport,0.587756863
Manchester,0.59275098
Squirrel Hill,0.594355556
Point Breeze,0.599376577
Lincoln,0.603596396
East Oakland,0.605894118
Liberty,0.607715315
Tarentum,0.612117117
Waterfront,0.630884685
Carrick,0.631055856
Troy Hill,0.636262963
Trafford,0.64310991
Ross,0.643645045
Oak Hill,0.645314414
Downtown,0.646342342
North Braddock,0.648918919
Monroeville,0.650332407
Lawrenceville,0.651492793
Bedford Hill,0.65187027
Bailey,0.653884685
Ellsworth,0.656123423
Downtown,0.657006306
Swissvale,0.657734234
Mccoy,0.662460494
East Hills,0.665391892
Coraopolis,0.665534234
Negley,0.666961261
West Park,0.670725225
Mon Valley,0.671525225
Green Tree,0.672145946
Hamilton,0.675254054
Oakland,0.676203604
Hazelwood,0.678431532
Shadeland,0.679285586
Bridgeville,0.681304505
Highland Park,0.682932432
Belleview,0.692291892
West Mifflin,0.69441982
Braddock Hills,0.695810185
Garfield Commons,0.696401802
Elizabeth,0.699136036
Arlington,0.699793694
Bower Hill,0.70147027
Friendship,0.703964865
Brookline,0.704054321
Perrysville,0.707428829
Lawrenceville,0.708425225
Brighton,0.716272072
Greenfield,0.719994595
Fineview,0.733786486
Spring Hill,0.733859459
Lincoln Place,0.735925225
Glassport,0.736037838
Charles,0.737230631
Knoxville,0.766630631
Fairywood,0.768734234
Oakmont,0.769866667
Downtown,0.773181982
Ohio Valley,0.774415315
Mount Washington,0.776707207
Carnegie,0.782421622
Chartiers,0.784923423
South Hills,0.831435556
South Hills,0.855835556
Castle Shannon,0.860726667
