Neighborhood,Metric
Squirrel Hill South,1
Highland Park,0.579735856
Squirrel Hill North,0.409816677
South Side Flats,0.333727577
Shadyside,0.307116105
Bloomfield,0.283067219
East Liberty,0.269268677
Point Breeze,0.259412576
Perry North,0.198501873
Central Business District,0.197516263
Brighton Heights,0.179381037
Mount Washington,0.172284644
Allegheny Center,0.17090479
Brookline,0.168145082
North Oakland,0.152769564
Carrick,0.152178198
Greenfield,0.146855904
Central Lawrenceville,0.140547999
Manchester,0.139365267
Stanton Heights,0.137985413
Central Northside,0.13286024
Hazelwood,0.128523556
Garfield,0.123398384
Beechview,0.120441553
Crawford-Roberts,0.111965307
Point Breeze North,0.11137394
Lincoln-Lemington-Belmar,0.103291938
Lower Lawrenceville,0.100137985
Marshall-Shadeland,0.096195545
Strip District,0.095801301
East Hills,0.095209935
Morningside,0.090873251
Homewood South,0.090479007
North Shore,0.090084762
Banksville,0.086142322
Regent Square,0.085550956
Knoxville,0.08495959
Homewood North,0.079440173
Sheraden,0.077271831
East Allegheny,0.077074709
Allegheny West,0.076089099
Upper Lawrenceville,0.073526513
Crafton Heights,0.072540903
Central Oakland,0.072540903
Perry South,0.072343781
Friendship,0.071358171
Middle Hill,0.067218608
Larimer,0.060319338
Chateau,0.054405677
Overbrook,0.054208555
Polish Hill,0.053420067
Lincoln Place,0.051843091
Terrace Village,0.051448847
Westwood,0.050857481
Swisshelm Park,0.048294895
South Oakland,0.046126552
South Side Slopes,0.04592943
Bluff,0.043761088
Troy Hill,0.042775478
Bedford Dwellings,0.03903016
New Homestead,0.036073329
Upper Hill,0.035284841
Elliott,0.033707865
Beltzhoover,0.033510743
West End,0.025822984
Windgap,0.023063276
Spring Hill-City View,0.02247191
Arlington,0.021092056
Duquesne Heights,0.019909324
California-Kirkbride,0.01852947
Bon Air,0.018135226
Oakwood,0.018135226
Homewood West,0.018135226
Fineview,0.017740982
Allentown,0.01655825
Summer Hill,0.015572639
West Oakland,0.015375517
Spring Garden,0.010841711
Chartiers City,0.007293515
Fairywood,0.006110783
Ridgemont,0.006110783
Mount Oliver,0.002562586
St. Clair,0.002365464
East Carnegie,0.001576976
Northview Heights,0.001182732
Arlington Heights,0.00098561
Esplen,0.000591366
Glen Hazel,0.000394244
South Shore,0.000394244
Hays,0.000197122
